temperature,pressure,z_carbon dioxide,z_hydrogen,Tc,Pc,Tr,Pr,P_bubble,P_dew,liquid_density,vapor_density,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,gamma,interfacial_thickness,E_carbon dioxide,E_hydrogen,gamma0_CO2,rhoL0_CO2,rhoV0_CO2,Tc_CO2,Psat_CO2
203.36903448275862,18.589515429136856,0.99,0.01,308.63,85.09,0.6589412386441973,0.21846886154820608,27.121132426299837,2.866083812501872,1207.8096871394398,10.486364903757444,0.9934783327759907,0.0065216672240092565,0.17479496915786022,0.8252050308421398,18.18550960924866,0.66038481341659,1.0000000007730583,1.8634510363807084,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,19.415555996426853,0.99,0.01,308.63,85.09,0.6589412386441973,0.22817670697410802,27.121132426299837,2.866083812501872,1207.5972879080014,10.63512581416049,0.9931399400770828,0.006860059922917151,0.1684001321899845,0.8315998678100155,18.138074743997826,0.6624851981923363,1.0000000007762784,1.8586681530567444,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,20.241596563716854,0.99,0.01,308.63,85.09,0.6589412386441973,0.23788455240001002,27.121132426299837,2.866083812501872,1207.385155617152,10.78412318970354,0.9928018861102755,0.007198113889724488,0.1625308000380519,0.8374691999619481,18.09079771642664,0.664599883692663,1.0000000006715013,1.8538797206794777,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,21.06763713100685,0.99,0.01,308.63,85.09,0.6589412386441973,0.24759239782591197,27.121132426299837,2.866083812501872,1207.173289922298,10.93335390727804,0.9924641704339733,0.007535829566026805,0.15712534380201723,0.8428746561979829,18.043679070167112,0.6666949242797408,1.0000000006683594,1.8490879125814126,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,21.893677698296848,0.99,0.01,308.63,85.09,0.6589412386441973,0.25730024325181394,27.121132426299837,2.866083812501872,1206.9616905089313,11.082815388796762,0.9921267926357601,0.007873207364239942,0.15213141188332852,0.8478685881166715,17.996719348529073,0.6687841705176162,1.000000000666321,1.8442947120888642,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,22.71971826558685,0.99,0.01,308.63,85.09,0.6589412386441973,0.2670080886777159,27.121132426299837,2.866083812501872,1206.750357086358,11.232505495776964,0.9917897523263829,0.008210247673617051,0.14750424758811814,0.8524957524118819,17.949918968202006,0.6708730728895546,1.000000000665159,1.8395310848438589,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,23.545758832876846,0.99,0.01,308.63,85.09,0.6589412386441973,0.2767159341036179,27.121132426299837,2.866083812501872,1206.539289382864,11.382422446683242,0.9914530491351184,0.008546950864881537,0.14320536002145548,0.8567946399785444,17.903278261436824,0.67293539731035,1.0000000006645964,1.8348146863090293,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,24.371799400166843,0.99,0.01,308.63,85.09,0.6589412386441973,0.2864237795295198,27.121132426299837,2.866083812501872,1206.3284871419576,11.532564751568138,0.9911166827061695,0.008883317293830477,0.13920146464948097,0.860798535350519,17.856797484114892,0.6750175051482664,1.0000000006643246,1.8301006308202217,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,25.19783996745684,0.99,0.01,308.63,85.09,0.6589412386441973,0.2961316249554218,27.121132426299837,2.866083812501872,1206.1179501073814,11.682930780416534,0.990780652684323,0.009219347315676977,0.1354636260396814,0.8645363739603186,17.810473004370476,0.6770657774291422,1.0,1.825386196386661,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,26.02388053474684,0.99,0.01,308.63,85.09,0.6589412386441973,0.30583947038132375,27.121132426299837,2.866083812501872,1205.907678072909,11.833520391016215,0.9904449587625463,0.009555041237453604,0.13196659356403928,0.8680334064359607,17.76432178424001,0.6791263116870333,1.0,1.8206853721234248,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
203.36903448275862,26.849921102036838,0.99,0.01,308.63,85.09,0.6589412386441973,0.3155473158072257,27.121132426299837,2.866083812501872,1205.6976707982978,11.984332182526058,0.9901096006016431,0.009890399398356875,0.1286881971945278,0.8713118028054723,17.718317643242646,0.6811662246718143,1.0000000006751626,1.8159868317224601,19.118564682323484,1211.9146434011463,7.723467949094397,309.1473760575555,2.835316490586698
206.73806896551724,3.4094220761797214,0.99,0.01,308.63,85.09,0.6698573339128316,0.04006842256645577,26.784786238971947,3.3756654219601203,1201.2784194861172,9.014940055713303,0.9999696010533183,3.0398946681654315e-05,0.9805845923482324,0.01941540765176758,18.326496308469295,0.6351100978867755,1.0000000004319258,1.8845231875739985,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
206.73806896551724,4.206232983090152,0.99,0.01,308.63,85.09,0.6698573339128316,0.049432753356330385,26.784786238971947,3.3756654219601203,1201.0591488160335,9.149956659400644,0.9996243986151782,0.0003756013848218699,0.8038763957997055,0.19612360420029454,18.279966757216172,0.6371203640838388,1.000000000440677,1.8780886971319493,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
206.73806896551724,5.003043890000584,0.99,0.01,308.63,85.09,0.6698573339128316,0.058797084146205006,26.784786238971947,3.3756654219601203,1200.8405487158816,9.286658046813322,0.9992799162034455,0.000720083796554564,0.6821113101283406,0.31788868987165947,18.23361160048032,0.6391620724806928,1.000000000445711,1.8729130656737145,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
206.73806896551724,5.799854796911015,0.99,0.01,308.63,85.09,0.6698573339128316,0.06816141493607962,26.784786238971947,3.3756654219601203,1200.622432276393,9.42504452457307,0.9989359759501694,0.0010640240498305913,0.5931969004023666,0.40680309959763344,18.187394005904245,0.641174166723669,1.000000000454391,1.8683010688620498,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
206.73806896551724,6.596665703821447,0.99,0.01,308.63,85.09,0.6698573339128316,0.07752574572595425,26.784786238971947,3.3756654219601203,1200.4047042363566,9.564838707229955,0.9985924871548693,0.0014075128451308263,0.525454899598625,0.47454510040137493,18.141298059172367,0.6432062449284317,1.0000000004629719,1.8639547339497469,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
206.73806896551724,7.393476610731878,0.99,0.01,308.63,85.09,0.6698573339128316,0.08689007651582886,26.784786238971947,3.3756654219601203,1200.1873115663682,9.70576974640927,0.9982493992835669,0.0017506007164330372,0.47214479884329796,0.527855201156702,18.095318093204156,0.6452293091246766,1.0000000004714173,1.8597333940880794,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
206.73806896551724,8.19028751764231,0.99,0.01,308.63,85.09,0.6698573339128316,0.09625440730570348,26.784786238971947,3.3756654219601203,1199.9702227036173,9.847622030217892,0.9979066822188032,0.0020933177811969105,0.42910820171045566,0.5708917982895444,18.049452834507353,0.6472460716810894,1.0000000006693708,1.8555662991240818,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
206.73806896551724,8.987098424552741,0.99,0.01,308.63,85.09,0.6698573339128316,0.1056187380955781,26.784786238971947,3.3756654219601203,1199.753417844041,9.990232693794802,0.9975643170265521,0.002435682973447835,0.39364225008613407,0.6063577499138659,18.003702927764206,0.6492792102816047,1.0000000006935392,1.8514514176459234,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
206.73806896551724,9.783909331463171,0.99,0.01,308.63,85.09,0.6698573339128316,0.1149830688854527,26.784786238971947,3.3756654219601203,1199.536884016188,10.133480193214824,0.9972222912710754,0.0027777087289245495,0.3639147905415939,0.6360852094584061,17.95807001671095,0.6512834586157837,1.0000000007178806,1.8473873166304513,18.330598713774215,1201.2977432150885,9.003121033871693,309.1473760575555,3.3393572378193586
