,temperature,pressure,z_carbon dioxide,z_hydrogen,z_nitrogen,z_argon,z_methane,z_oxygen,z_carbon monoxide,z_hydrogen sulfide
14945,215.0,22.618002699717096,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
16609,265.0,29.89581764463892,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02
5468,220.0,15.092072479009868,0.9500000000000002,0.0,0.0127793031953464,0.0,0.0019066448341537,0.0,0.0247519768157292,0.0105620751547706
13598,220.0,18.211377627421545,0.98,0.0,0.02,0.0,0.0,0.0,0.0,0.0
3319,215.0,5.8764957622641525,0.97,0.0,0.0,0.0,0.0,0.0,0.0033574531965251,0.0266425468034748
13408,220.0,20.805539642289503,0.95,0.0,0.0013975609656157,0.0254634082330592,0.0198727157653484,0.0,0.0004800215694976,0.002786293466479
19280,255.0,58.187532076870575,0.98,0.0199312532813553,1.2331681778548162e-07,3.111098311804671e-08,6.821041355683285e-05,1.562011847671515e-07,1.0556256590468488e-07,1.2011353627176136e-07
14074,270.0,46.22208836559394,0.95,0.0,0.01,0.04,0.0,0.0,0.0,0.0
10483,210.0,5.759627385383073,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
5290,230.0,20.31236263620016,0.9800000000000002,0.0027900659947176,0.0051896876334928,0.0031479159606157,0.0,0.0064401637300932,0.0,0.0024321666810805
16269,290.0,65.37125929296911,0.98,0.01,0.01,0.0,0.0,0.0,0.0,0.0
5206,290.0,63.65816527522552,0.95,0.0061527010969512,0.0,0.0224231159211688,0.0081212751092164,0.0,0.0,0.0133029078726635
8111,280.0,48.49313576485515,0.9800000000000002,0.0023490924837335,0.0014384260881545,0.0024760134139924,0.0132524367690595,0.0,0.0004840312450599,0.0
34,215.0,9.978762284122832,0.97,0.0,0.0,0.0,0.0,0.0253278377187791,0.0046721622812208,0.0
2426,260.0,28.578710066881747,0.96,0.0,0.0008850414162001,0.0391149585837999,0.0,0.0,0.0,0.0
10481,210.0,5.381836934588474,0.99,0.0,0.0,0.0042142943595979,0.0,0.0,0.0,0.005785705640402
19062,240.0,30.88968792425571,0.9599825461289972,0.0028883910951717,0.0365119632322939,0.0,0.0,0.0006150995435372,1.0000000000000002e-06,1.0000000000000002e-06
4935,250.0,22.69745747543389,0.9500000000000002,0.0,0.0148235104099754,0.0,0.0271967461301069,0.0016830993788554,0.0,0.0062966440810621
1379,215.0,6.286432167162357,0.9900000000000002,0.0018331999229532,0.0023678875806493,0.0,0.0054605197736359,0.0,0.0003383927227614,0.0
17890,230.0,15.494179501284073,0.9700000000000002,0.0027437488900767,0.0007509336616747,0.0018004065823258,0.0245796928555922,9.125664169751543e-06,3.4823956615641697e-05,8.126838954503732e-05
1026,230.0,14.727600570732978,0.9900000000000002,0.0014780298623429,0.0052214621304845,0.0,0.0015734753855824,0.0003996472235515,0.0013273853980386,0.0
9916,215.0,7.214410767109708,0.9600000000000002,0.0,0.0231480605519119,0.0,0.0,0.0059228408958504,0.0002832581707493,0.0106458403814883
10965,265.0,37.80583860598115,0.95,0.0161563323497004,0.0,0.0,0.0338436676502996,0.0,0.0,0.0
8263,265.0,31.06772490630758,0.9600000000000002,0.025521842323906,0.0,0.0102109230317582,0.0,0.0,0.0,0.0042672346443356
1502,275.0,41.06261700546786,0.9900000000000002,0.0018331999229532,0.0023678875806493,0.0,0.0054605197736359,0.0,0.0003383927227614,0.0
1750,210.0,9.810613756790527,0.9600000000000002,0.0038571613999033,0.0035906803557046,0.0003063923219294,0.004304044497641,0.0061631385790745,0.021778582845747,0.0
15653,275.0,68.17514312521304,0.96,0.02,0.01,0.0,0.0,0.01,0.0,0.0
3041,275.0,47.7612283827121,0.98,0.0084998019720903,0.0020816526704039,0.0,0.0076379325133379,0.0,0.0,0.0017806128441678
10365,250.0,19.93108414733021,0.9600000000000002,0.0015463321755183,0.0,0.0186927613164081,0.0197609065080735,0.0,0.0,0.0
4725,245.0,26.20986343892607,0.9500000000000002,0.018906108017535,0.0022674691696402,0.0,0.0,0.0078288903707999,0.0,0.0209975324420248
11739,260.0,40.22459704520672,0.98,0.0082265201045087,0.0074981249813925,0.0,0.0011315097552597,0.003143845158839,0.0,0.0
9644,280.0,52.34547657779296,0.9700000000000002,0.0096937248324798,0.0,0.0071648024664248,0.0131414727010952,0.0,0.0,0.0
15095,290.0,73.75048071229362,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0
11746,265.0,37.745505446005446,0.98,0.0082265201045087,0.0074981249813925,0.0,0.0011315097552597,0.003143845158839,0.0,0.0
7960,205.0,9.460544800133412,0.9800000000000002,0.0023490924837335,0.0014384260881545,0.0024760134139924,0.0132524367690595,0.0,0.0004840312450599,0.0
9957,235.0,15.059552364747692,0.9600000000000002,0.0,0.0231480605519119,0.0,0.0,0.0059228408958504,0.0002832581707493,0.0106458403814883
9125,210.0,14.342955932735268,0.96,0.0,0.0267210077485568,0.0132789922514431,0.0,0.0,0.0,0.0
13246,235.0,15.477848881176556,0.9900000000000004,0.0003378989255281,0.0073037629178862,0.0,0.0,0.0,0.0009878960891263,0.0013704420674592
8937,210.0,11.270396210429595,0.97,0.0,0.000483572647257,0.0,0.0,0.029516427352743,0.0,0.0
