T,P,z_carbon dioxide,z_hydrogen,rho_l,rho_v,x_carbon dioxide,x_hydrogen,y_carbon dioxide,y_hydrogen,rhoL1_carbon dioxide,rhoL2_hydrogen,rhoV1_carbon dioxide,rhoV2_hydrogen,gamma0_carbon dioxide,rhoL0_carbon dioxide,rhoV0_carbon dioxide,Tc_carbon dioxide,Pc_carbon dioxide,Psat0_carbon dioxide,parachor_carbon dioxide,parachor_hydrogen,n_exp,gamma_parachor,gamma_cDFT_minus_parachor
256.6604137931,86.4712720926,0.95,0.05,0.02329759619576267,0.004560127243064915,0.9539500406324095,0.04604995936759054,0.377275037565854,0.6227249624341461,0.022224742837585267,0.001072853358177403,0.00172042217693239,0.0028397050661325253,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.187060223522175,0.42158279396818177
256.6604137931,88.799633283,0.95,0.05,0.02330776679979474,0.0046772862295943254,0.9523000836073541,0.04769991639264586,0.3718037245496103,0.6281962754503898,0.022195988272145244,0.0011117785276494963,0.001739032440947774,0.002938253788646552,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.1126299713647,0.4338565788883706
256.6604137931,91.1279944733,0.95,0.05,0.02331794794670267,0.004794341948603267,0.9506505703227631,0.049349429677236954,0.3666469135564213,0.6333530864435788,0.022167220514289397,0.0011507274324132752,0.0017578306779894666,0.003036511270613801,7.548277307963605,0.023020150506392622,0.0012833326886808754,309.1473760575555,82.3795680252517,21.86532831534289,77.56005413067513,34.052431631256816,3.87,5.038932096624062,0.44590806676018513
260.2016896552,26.2552188827,0.95,0.05,0.02264309276363197,0.0015348072292653702,0.9985159789722273,0.0014840210277725647,0.9428736807936984,0.05712631920630163,0.022609489937836933,3.3602825795034636e-05,0.0014471293415662173,8.767788769915291e-05,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.788987987926984,0.01341362101878385
260.2016896552,28.4714618913,0.95,0.05,0.022651794143366856,0.0016469300814471771,0.9968543062502492,0.0031456937497508423,0.8870663725340814,0.11293362746591866,0.022580538536109425,7.125560725743186e-05,0.0014609362931666066,0.00018599378828057059,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.703161967563007,0.028477883894442613
260.2016896552,30.6877048999,0.95,0.05,0.022660526985505445,0.0017591302164893649,0.9951951392560618,0.004804860743938079,0.8384341987264803,0.16156580127351974,0.022551646308955838,0.0001088806765496046,0.0014749149335178005,0.00028421528297156446,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.618041700812978,0.04353617715508751
260.2016896552,32.9039479085,0.95,0.05,0.022669286297707928,0.0018713941605518303,0.9935380047127773,0.006461995287222612,0.7957139937150947,0.20428600628490542,0.022522797476487437,0.00014648882122048876,0.0014890945213078038,0.00038229963924402653,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.533599069251502,0.05856293868928564
260.2016896552,35.120190917,0.95,0.05,0.022678068244934183,0.0019837089382022943,0.991882537634071,0.008117462365929109,0.757919054974657,0.24208094502534308,0.02249397987942396,0.00018408836551022523,0.001503490803787063,0.0004802181344152313,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.449818777993659,0.07353028070329781
260.2016896552,37.3364339256,0.95,0.05,0.022686869842220764,0.002096062514056653,0.9902284525222983,0.009771547477701722,0.7242681526854541,0.27573184731454586,0.022465184016437066,0.00022168582578369956,0.0015181113249690405,0.0005779511890876122,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.36669321714603,0.08841722239935823
260.2016896552,39.5526769342,0.95,0.05,0.0226956887418455,0.002208443974346532,0.988575523423262,0.011424476576737974,0.6941352305835026,0.3058647694164974,0.022436402377421352,0.00025928636442414967,0.0015329587673637768,0.000675485206982755,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.284219267169886,0.10320308142067791
260.2016896552,41.7689199427,0.95,0.05,0.02270452307338224,0.0023208434994370785,0.9869235689609834,0.013076431039016553,0.6670130541228753,0.33298694587712474,0.022407628943139395,0.000296894130242843,0.0015480329107007472,0.0007728105887363312,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.202396418226993,0.11787222548943355
260.2016896552,43.9851629513,0.95,0.05,0.022713371332842038,0.00243325231440323,0.9852724419625772,0.01472755803742268,0.6424865730178672,0.3575134269821329,0.022378858838312074,0.00033451249452996366,0.0015633319407687251,0.000869920373634505,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.121225544630825,0.13240959717768686
260.2016896552,46.2014059599,0.95,0.05,0.02272223231215733,0.002545662558853877,0.9836220228389004,0.01637797716109954,0.6202130603236412,0.37978693967635885,0.022350088110299617,0.0003721442018577107,0.0015788531661780744,0.0009668093926758027,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,6.040708265148257,0.14680409259455995
260.2016896552,48.4176489684,0.95,0.05,0.022731105018898665,0.002658067195961494,0.9819722121137107,0.01802778788628936,0.5999071599726281,0.40009284002737183,0.022321313479196993,0.0004097915397016727,0.001594593542545667,0.0010634736534158268,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,5.960846417496084,0.1610456106478333
260.2016896552,50.633891977,0.95,0.05,0.02273998864080983,0.0027704598939501694,0.9803229270891377,0.01967707291086225,0.5813294544841681,0.418670545515832,0.022292532226332436,0.0004474564144773944,0.0016105499388203181,0.0011599099551298515,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,5.881641846142283,0.17512478602327786
260.2016896552,52.8501349856,0.95,0.05,0.022748882507671608,0.0028828349301148032,0.9786740982875771,0.021325901712422934,0.5642776485613034,0.43572235143869675,0.022263742075245545,0.0004851404324260621,0.0016267193155555704,0.001256115614559233,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,5.803096239818481,0.18903506446235063
260.2016896552,55.0663779942,0.95,0.05,0.02275778606050949,0.0029951871118229396,0.9770256665832711,0.022974333416728873,0.5485796977627376,0.4514203022372624,0.022234941095728756,0.0005228449647807297,0.0016430988405466752,0.0013520882712762645,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,5.725211026568059,0.20276943244033507
260.2016896552,57.2826210027,0.95,0.05,0.02276669884163495,0.0031075116695977833,0.9753775822484588,0.024622417751541153,0.5340883810312421,0.4659116189687578,0.022206127671932686,0.0005605711697022638,0.0016596858766511724,0.001447825792946611,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,5.647987415195844,0.2163248413219776
260.2016896552,59.4988640113,0.95,0.05,0.022775620462224887,0.0032198042323311376,0.9737298019597842,0.026270198040215763,0.5206770251922264,0.4793229748077737,0.02217730040219345,0.0005983200600314382,0.0016764780893915167,0.0015433261429396209,6.866137862518475,0.022635367195008953,0.001434923716143936,309.1473760575555,82.3795680252517,24.27940515804693,77.59966377876158,34.052431631256816,3.87,5.571426272030218,0.22969626604173143
